userId	geneSymbol	geneName	entrezgene	gLink
SMARCB1	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	6598	https://www.ncbi.nlm.nih.gov/gene/?term=6598
STK11	STK11	serine/threonine kinase 11	6794	https://www.ncbi.nlm.nih.gov/gene/?term=6794
SUFU	SUFU	SUFU negative regulator of hedgehog signaling	51684	https://www.ncbi.nlm.nih.gov/gene/?term=51684
TMEM127	TMEM127	transmembrane protein 127	55654	https://www.ncbi.nlm.nih.gov/gene/?term=55654
TP53	TP53	tumor protein p53	7157	https://www.ncbi.nlm.nih.gov/gene/?term=7157
TSC1	TSC1	TSC complex subunit 1	7248	https://www.ncbi.nlm.nih.gov/gene/?term=7248
TSC2	TSC2	TSC complex subunit 2	7249	https://www.ncbi.nlm.nih.gov/gene/?term=7249
VHL	VHL	von Hippel-Lindau tumor suppressor	7428	https://www.ncbi.nlm.nih.gov/gene/?term=7428
WT1	WT1	Wilms tumor 1	7490	https://www.ncbi.nlm.nih.gov/gene/?term=7490
CHEK2	CHEK2	checkpoint kinase 2	11200	https://www.ncbi.nlm.nih.gov/gene/?term=11200
PDGFRA	PDGFRA	platelet derived growth factor receptor alpha	5156	https://www.ncbi.nlm.nih.gov/gene/?term=5156
