geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0045930	negative regulation of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045930	256	11	0.890915636625465	12.346848060344827	1.0910152781207216e-9	6.254493039844792e-7	324;472;672;1027;2956;4436;5728;5925;7157;11200;79577	APC;ATM;BRCA1;CDC73;CDKN1B;MSH2;MSH6;PTEN;RB1;TP53;CHEK2
GO:0006099	tricarboxylic acid cycle	http://amigo.geneontology.org/amigo/term/GO:0006099	33	6	0.11484459378375135	52.244514106583075	1.4024410521784603e-9	7.369827729197809e-7	2271;6389;6390;6391;6392;54949	FH;SDHA;SDHAF2;SDHB;SDHC;SDHD
GO:1902807	negative regulation of cell cycle G1/S phase transition	http://amigo.geneontology.org/amigo/term/GO:1902807	98	8	0.34105364214568584	23.456720619282194	1.6090522247935723e-9	7.650117755941821e-7	472;1027;4221;5728;5925;7157;11200;79577	ATM;CDC73;CDKN1B;MEN1;PTEN;RB1;TP53;CHEK2
GO:0006101	citrate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006101	34	6	0.11832473298931957	50.7079107505071	1.6984086359528305e-9	7.650117755941821e-7	2271;6389;6390;6391;6392;54949	FH;SDHA;SDHAF2;SDHB;SDHC;SDHD
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	http://amigo.geneontology.org/amigo/term/GO:0008630	103	8	0.35845433817352695	22.318044861064614	2.398769849421001e-9	1.0084428446965886e-6	472;672;675;2956;4292;4436;7157;11200	ATM;BRCA1;BRCA2;MLH1;MSH2;MSH6;TP53;CHEK2
GO:1901990	regulation of mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901990	354	12	1.231969278771151	9.740502630040911	2.5966473415905966e-9	1.023403633504394e-6	324;472;672;1019;1027;2956;5728;5889;5925;7157;11200;79577	APC;ATM;BRCA1;CDC73;CDK4;CDKN1B;MSH6;PTEN;RAD51C;RB1;TP53;CHEK2
GO:0000075	cell cycle checkpoint	http://amigo.geneontology.org/amigo/term/GO:0000075	216	10	0.7517100684027361	13.303001277139208	3.2929590165764466e-9	1.1944707296946733e-6	324;472;672;1027;2956;4436;5925;7157;11200;83990	APC;ATM;BRCA1;BRIP1;CDKN1B;MSH2;MSH6;RB1;TP53;CHEK2
GO:0072350	tricarboxylic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0072350	38	6	0.13224528981159248	45.370235934664244	3.449164287516737e-9	1.1944707296946733e-6	2271;6389;6390;6391;6392;54949	FH;SDHA;SDHAF2;SDHB;SDHC;SDHD
GO:0006302	double-strand break repair	http://amigo.geneontology.org/amigo/term/GO:0006302	218	10	0.7586703468138726	13.180955393862702	3.598944475768917e-9	1.1944707296946733e-6	472;672;675;4292;4436;5889;5892;11200;79728;83990	ATM;BRCA1;BRCA2;BRIP1;MLH1;MSH2;PALB2;RAD51C;RAD51D;CHEK2
GO:0007093	mitotic cell cycle checkpoint	http://amigo.geneontology.org/amigo/term/GO:0007093	165	9	0.5742229689187568	15.67335423197492	5.1606454665176216e-9	1.6271515155930061e-6	324;472;672;1027;2956;4436;5925;7157;11200	APC;ATM;BRCA1;CDKN1B;MSH2;MSH6;RB1;TP53;CHEK2
GO:0032007	negative regulation of TOR signaling	http://amigo.geneontology.org/amigo/term/GO:0032007	45	6	0.15660626425057003	38.31264367816092	9.987319637971837e-9	2.9990494112881142e-6	472;6794;7248;7249;55654;201163	ATM;FLCN;STK11;TMEM127;TSC1;TSC2
GO:1902532	negative regulation of intracellular signal transduction	http://amigo.geneontology.org/amigo/term/GO:1902532	495	13	1.7226689067562702	7.546429815395333	1.1138355793249843e-8	3.1926578014651597e-6	472;4089;4221;4233;4763;4771;5728;6794;7248;7249;7428;55654;201163	ATM;FLCN;MEN1;MET;NF1;NF2;PTEN;SMAD4;STK11;TMEM127;TSC1;TSC2;VHL
GO:0045926	negative regulation of growth	http://amigo.geneontology.org/amigo/term/GO:0045926	250	10	0.8700348013920557	11.493793103448276	1.336866750634158e-8	3.6653398823908696e-6	1027;1029;4089;5727;5728;6597;6794;7157;7490;201163	CDKN1B;CDKN2A;FLCN;PTCH1;PTEN;SMAD4;SMARCA4;STK11;TP53;WT1
GO:0048608	reproductive structure development	http://amigo.geneontology.org/amigo/term/GO:0048608	425	12	1.4790591623664946	8.113265720081136	1.9995953337570427e-8	5.25393673944663e-6	675;1027;3815;4089;4221;4436;5156;5727;5728;6794;7490;83990	BRCA2;BRIP1;CDKN1B;KIT;MEN1;MSH2;PTCH1;PTEN;SMAD4;STK11;WT1;PDGFRA
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	428	12	1.4894995799831994	8.056397035127295	2.1612287515182516e-8	5.451483402829638e-6	675;1027;3815;4089;4221;4436;5156;5727;5728;6794;7490;83990	BRCA2;BRIP1;CDKN1B;KIT;MEN1;MSH2;PTCH1;PTEN;SMAD4;STK11;WT1;PDGFRA
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	434	12	1.5103804152166087	7.945018274273002	2.5201829068066672e-8	6.112412850124171e-6	657;675;999;1027;4089;4233;4763;5156;5727;5728;6794;7490	BMPR1A;BRCA2;CDH1;CDKN1B;MET;NF1;PTCH1;PTEN;SMAD4;STK11;WT1;PDGFRA
GO:0006310	DNA recombination	http://amigo.geneontology.org/amigo/term/GO:0006310	273	10	0.9500780031201248	10.525451559934318	3.0807096651486177e-8	7.115648046213912e-6	472;672;675;2956;4292;4436;5889;5892;79728;83990	ATM;BRCA1;BRCA2;BRIP1;MLH1;MSH2;MSH6;PALB2;RAD51C;RAD51D
GO:0009314	response to radiation	http://amigo.geneontology.org/amigo/term/GO:0009314	443	12	1.5417016680667226	7.78360706779793	3.159501194005543e-8	7.115648046213912e-6	472;672;675;2956;3815;4221;4436;4763;5424;6794;7157;11200	ATM;BRCA1;BRCA2;KIT;MEN1;MSH2;MSH6;NF1;POLD1;STK11;TP53;CHEK2
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:2000134	94	7	0.32713308532341295	21.398019075568598	3.4433997431193575e-8	7.487613372451954e-6	472;1027;5728;5925;7157;11200;79577	ATM;CDC73;CDKN1B;PTEN;RB1;TP53;CHEK2
GO:0000077	DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:0000077	146	8	0.5081003240129606	15.744922059518185	3.787832658641577e-8	7.962024248464594e-6	472;672;1027;2956;4436;7157;11200;83990	ATM;BRCA1;BRIP1;CDKN1B;MSH2;MSH6;TP53;CHEK2
GO:0051053	negative regulation of DNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0051053	147	8	0.5115804632185288	15.63781374618813	3.995121189426243e-8	8.126849748555447e-6	472;675;2956;4221;4292;4436;7157;11200	ATM;BRCA2;MEN1;MLH1;MSH2;MSH6;TP53;CHEK2
GO:0010212	response to ionizing radiation	http://amigo.geneontology.org/amigo/term/GO:0010212	149	8	0.5185407416296652	15.42791020597084	4.439192846650286e-8	8.74798440343022e-6	472;672;675;4221;4436;6794;7157;11200	ATM;BRCA1;BRCA2;MEN1;MSH2;STK11;TP53;CHEK2
GO:1902806	regulation of cell cycle G1/S phase transition	http://amigo.geneontology.org/amigo/term/GO:1902806	152	8	0.5289811592463699	15.123411978221414	5.184878726360864e-8	9.756643007351267e-6	472;1027;4221;5728;5925;7157;11200;79577	ATM;CDC73;CDKN1B;MEN1;PTEN;RB1;TP53;CHEK2
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	11	1.294611784471379	8.49675565443085	5.260479896129766e-8	9.756643007351267e-6	657;675;1027;3815;4221;4763;5727;5728;5925;6794;79577	BMPR1A;BRCA2;CDC73;CDKN1B;KIT;MEN1;NF1;PTCH1;PTEN;RB1;STK11
GO:0006298	mismatch repair	http://amigo.geneontology.org/amigo/term/GO:0006298	30	5	0.10440417616704668	47.89080459770115	5.7065394853950124e-8	1.0281553712828844e-5	2956;4292;4436;4595;5395	MLH1;MSH2;MSH6;MUTYH;PMS2
GO:0002566	somatic diversification of immune receptors via somatic mutation	http://amigo.geneontology.org/amigo/term/GO:0002566	12	4	0.041761670466818675	95.7816091954023	6.401352115048553e-8	1.079694843760628e-5	2956;4292;4436;5395	MLH1;MSH2;MSH6;PMS2
GO:0016446	somatic hypermutation of immunoglobulin genes	http://amigo.geneontology.org/amigo/term/GO:0016446	12	4	0.041761670466818675	95.7816091954023	6.401352115048553e-8	1.079694843760628e-5	2956;4292;4436;5395	MLH1;MSH2;MSH6;PMS2
GO:0007569	cell aging	http://amigo.geneontology.org/amigo/term/GO:0007569	103	7	0.35845433817352695	19.528289253431534	6.506248662052627e-8	1.079694843760628e-5	472;657;675;1029;5728;7157;11200	ATM;BMPR1A;BRCA2;CDKN2A;PTEN;TP53;CHEK2
GO:0031570	DNA integrity checkpoint	http://amigo.geneontology.org/amigo/term/GO:0031570	158	8	0.5498619944797792	14.549105194238322	7.004951618760913e-8	1.1326467925104183e-5	472;672;1027;2956;4436;7157;11200;83990	ATM;BRCA1;BRIP1;CDKN1B;MSH2;MSH6;TP53;CHEK2
GO:0001933	negative regulation of protein phosphorylation	http://amigo.geneontology.org/amigo/term/GO:0001933	385	11	1.3398535941437657	8.209852216748768	7.456113848558488e-8	1.1754563482252457e-5	324;1027;1029;4089;4221;4763;4771;5728;5925;7249;201163	APC;CDKN1B;CDKN2A;FLCN;MEN1;NF1;NF2;PTEN;RB1;SMAD4;TSC2
GO:0090399	replicative senescence	http://amigo.geneontology.org/amigo/term/GO:0090399	13	4	0.0452418096723869	88.41379310344827	9.22243534873246e-8	1.4184555441245585e-5	472;1029;7157;11200	ATM;CDKN2A;TP53;CHEK2
GO:0050678	regulation of epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050678	318	10	1.106684267370695	9.036000867490783	1.2880024835570936e-7	1.933843728883579e-5	657;675;1027;4221;4763;5727;5728;5925;6794;79577	BMPR1A;BRCA2;CDC73;CDKN1B;MEN1;NF1;PTCH1;PTEN;RB1;STK11
GO:0061982	meiosis I cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0061982	116	7	0.40369614784591384	17.339774078478	1.478608793181735e-7	2.168396988326516e-5	472;675;2956;4292;5889;5892;83990	ATM;BRCA2;BRIP1;MLH1;MSH6;RAD51C;RAD51D
GO:0030308	negative regulation of cell growth	http://amigo.geneontology.org/amigo/term/GO:0030308	179	8	0.6229449177967119	12.842226931227122	1.8358626663328437e-7	2.6311249940670255e-5	1027;1029;4089;6597;6794;7157;7490;201163	CDKN1B;CDKN2A;FLCN;SMAD4;SMARCA4;STK11;TP53;WT1
GO:0042326	negative regulation of phosphorylation	http://amigo.geneontology.org/amigo/term/GO:0042326	423	11	1.4720988839553582	7.47232412162713	1.9253511673866797e-7	2.6980587692312003e-5	324;1027;1029;4089;4221;4763;4771;5728;5925;7249;201163	APC;CDKN1B;CDKN2A;FLCN;MEN1;NF1;NF2;PTEN;RB1;SMAD4;TSC2
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	337	10	1.172806912276491	8.52655274736519	2.206044712460553e-7	3.0241995558209233e-5	472;1019;1027;4089;4763;5728;7157;7248;7428;83990	ATM;BRIP1;CDK4;CDKN1B;NF1;PTEN;SMAD4;TP53;TSC1;VHL
GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	http://amigo.geneontology.org/amigo/term/GO:0006978	16	4	0.055682227289091564	71.83620689655173	2.329327466465969e-7	3.1252636177732765e-5	672;675;7157;11200	BRCA1;BRCA2;TP53;CHEK2
GO:0042772	DNA damage response, signal transduction resulting in transcription	http://amigo.geneontology.org/amigo/term/GO:0042772	17	4	0.059162366494659786	67.6105476673428	3.0381516236133166e-7	3.991371695521995e-5	672;675;7157;11200	BRCA1;BRCA2;TP53;CHEK2
GO:0051348	negative regulation of transferase activity	http://amigo.geneontology.org/amigo/term/GO:0051348	266	9	0.9257170286811472	9.72219341457091	3.157759624894396e-7	4.063843305017156e-5	324;1027;1029;4221;4763;4771;5925;7157;7249	APC;CDKN1B;CDKN2A;MEN1;NF1;NF2;RB1;TP53;TSC2
GO:0009060	aerobic respiration	http://amigo.geneontology.org/amigo/term/GO:0009060	80	6	0.27841113644545784	21.550862068965515	3.3549721722980763e-7	4.231290903702334e-5	2271;6389;6390;6391;6392;54949	FH;SDHA;SDHAF2;SDHB;SDHC;SDHD
GO:0090068	positive regulation of cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0090068	270	9	0.9396375855034201	9.57816091954023	3.5807295684087137e-7	4.427466795761833e-5	472;672;1019;1027;5889;5925;7157;11200;79577	ATM;BRCA1;CDC73;CDK4;CDKN1B;RAD51C;RB1;TP53;CHEK2
GO:0006284	base-excision repair	http://amigo.geneontology.org/amigo/term/GO:0006284	43	5	0.1496459858394336	33.412189254210105	3.7240030448248973e-7	4.5160698462818854e-5	4595;4913;5424;5426;7157	MUTYH;NTHL1;POLD1;POLE;TP53
GO:0001822	kidney development	http://amigo.geneontology.org/amigo/term/GO:0001822	274	9	0.953558142325693	9.438333752831614	4.052092250628192e-7	4.821225232539883e-5	4072;4089;4763;5156;5727;5979;7248;7490;201163	EPCAM;FLCN;NF1;PTCH1;RET;SMAD4;TSC1;WT1;PDGFRA
GO:2000045	regulation of G1/S transition of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:2000045	137	7	0.4767790711628465	14.681852504404732	4.609836564695158e-7	5.383264699438456e-5	472;1027;5728;5925;7157;11200;79577	ATM;CDC73;CDKN1B;PTEN;RB1;TP53;CHEK2
GO:0061614	pri-miRNA transcription by RNA polymerase II	http://amigo.geneontology.org/amigo/term/GO:0061614	45	5	0.15660626425057003	31.927203065134098	4.701617466462693e-7	5.390618135184317e-5	657;4089;6597;7157;7490	BMPR1A;SMAD4;SMARCA4;TP53;WT1
GO:0009411	response to UV	http://amigo.geneontology.org/amigo/term/GO:0009411	140	7	0.4872194887795512	14.367241379310345	5.339636890422383e-7	6.012812541250634e-5	675;2956;4221;4436;5424;6794;7157	BRCA2;MEN1;MSH2;MSH6;POLD1;STK11;TP53
GO:0051896	regulation of protein kinase B signaling	http://amigo.geneontology.org/amigo/term/GO:0051896	207	8	0.7203888155526221	11.10511410961186	5.566907619325434e-7	6.128421748711314e-5	3815;4233;5156;5728;5979;6794;7249;201163	FLCN;KIT;MET;PTEN;RET;STK11;TSC2;PDGFRA
GO:0097193	intrinsic apoptotic signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0097193	285	9	0.9918396735869435	9.07404718693285	5.636670812325661e-7	6.128421748711314e-5	472;672;675;2956;4292;4436;6794;7157;11200	ATM;BRCA1;BRCA2;MLH1;MSH2;MSH6;STK11;TP53;CHEK2
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	374	10	1.3015720628825154	7.683016780379863	5.744619591130373e-7	6.139927312147142e-5	472;672;675;1019;1027;5889;5925;7157;11200;79577	ATM;BRCA1;BRCA2;CDC73;CDK4;CDKN1B;RAD51C;RB1;TP53;CHEK2
GO:0001656	metanephros development	http://amigo.geneontology.org/amigo/term/GO:0001656	89	6	0.30973238929557184	19.371561410306082	6.333345743403385e-7	6.547263949379392e-5	4089;4763;5156;5727;5979;7490	NF1;PTCH1;RET;SMAD4;WT1;PDGFRA
GO:0072001	renal system development	http://amigo.geneontology.org/amigo/term/GO:0072001	289	9	1.0057602304092164	8.948454838324782	6.333382507328622e-7	6.547263949379392e-5	4072;4089;4763;5156;5727;5979;7248;7490;201163	EPCAM;FLCN;NF1;PTCH1;RET;SMAD4;TSC1;WT1;PDGFRA
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	http://amigo.geneontology.org/amigo/term/GO:0000079	92	6	0.3201728069122765	18.739880059970012	7.709378717635218e-7	7.841184224743174e-5	324;1019;1027;1029;4221;5728	APC;CDK4;CDKN1B;CDKN2A;MEN1;PTEN
GO:0006469	negative regulation of protein kinase activity	http://amigo.geneontology.org/amigo/term/GO:0006469	217	8	0.7551902076083044	10.593357699030669	7.95527480113023e-7	7.962851253321783e-5	324;1027;1029;4221;4763;4771;5925;7249	APC;CDKN1B;CDKN2A;MEN1;NF1;NF2;RB1;TSC2
GO:0032006	regulation of TOR signaling	http://amigo.geneontology.org/amigo/term/GO:0032006	93	6	0.32365294611784473	18.53837597330367	8.219021777611246e-7	7.990394448289188e-5	472;6794;7248;7249;55654;201163	ATM;FLCN;STK11;TMEM127;TSC1;TSC2
GO:0072331	signal transduction by p53 class mediator	http://amigo.geneontology.org/amigo/term/GO:0072331	218	8	0.7586703468138726	10.54476431509016	8.23621375101169e-7	7.990394448289188e-5	472;672;675;1027;4436;6794;7157;11200	ATM;BRCA1;BRCA2;CDKN1B;MSH2;STK11;TP53;CHEK2
GO:0043010	camera-type eye development	http://amigo.geneontology.org/amigo/term/GO:0043010	302	9	1.0510020400816034	8.563256451244575	9.139326253571056e-7	8.732210811366528e-5	1019;1027;4149;4763;4771;5156;5979;6597;7490	CDK4;CDKN1B;MAX;NF1;NF2;RET;SMARCA4;WT1;PDGFRA
GO:0007568	aging	http://amigo.geneontology.org/amigo/term/GO:0007568	303	9	1.0544821792871715	8.534994878798225	9.393976141414129e-7	8.841554260859328e-5	472;657;675;1029;2956;4436;5728;7157;11200	ATM;BMPR1A;BRCA2;CDKN2A;MSH2;MSH6;PTEN;TP53;CHEK2
GO:0007131	reciprocal meiotic recombination	http://amigo.geneontology.org/amigo/term/GO:0007131	52	5	0.1809672386895476	27.629310344827584	9.817494478481237e-7	8.932947316864543e-5	472;4292;5889;5892;83990	ATM;BRIP1;MLH1;RAD51C;RAD51D
GO:0035825	homologous recombination	http://amigo.geneontology.org/amigo/term/GO:0035825	52	5	0.1809672386895476	27.629310344827584	9.817494478481237e-7	8.932947316864543e-5	472;4292;5889;5892;83990	ATM;BRIP1;MLH1;RAD51C;RAD51D
GO:1904029	regulation of cyclin-dependent protein kinase activity	http://amigo.geneontology.org/amigo/term/GO:1904029	96	6	0.3340933637345494	17.95905172413793	9.916053158587346e-7	8.932947316864543e-5	324;1019;1027;1029;4221;5728	APC;CDK4;CDKN1B;CDKN2A;MEN1;PTEN
GO:0044773	mitotic DNA damage checkpoint	http://amigo.geneontology.org/amigo/term/GO:0044773	97	6	0.3375735029401176	17.773906861002487	1.05415937312614e-6	9.362716911173859e-5	472;1027;2956;4436;7157;11200	ATM;CDKN1B;MSH2;MSH6;TP53;CHEK2
GO:0009416	response to light stimulus	http://amigo.geneontology.org/amigo/term/GO:0009416	308	9	1.0718828753150127	8.396439767129422	1.0761559936511844e-6	9.425332911061624e-5	675;2956;3815;4221;4436;4763;5424;6794;7157	BRCA2;KIT;MEN1;MSH2;MSH6;NF1;POLD1;STK11;TP53
GO:0046661	male sex differentiation	http://amigo.geneontology.org/amigo/term/GO:0046661	157	7	0.546381855274211	12.811552822314956	1.1570500958457686e-6	9.995010827949886e-5	657;3815;4089;4436;5156;7490;83990	BMPR1A;BRIP1;KIT;MSH2;SMAD4;WT1;PDGFRA
GO:0051052	regulation of DNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0051052	405	10	1.4094563782551301	7.094934014474244	1.1841983365012965e-6	1.0091290148617804e-4	472;672;675;2956;4221;4292;4436;7157;7490;11200	ATM;BRCA1;BRCA2;MEN1;MLH1;MSH2;MSH6;TP53;WT1;CHEK2
GO:0036293	response to decreased oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0036293	313	9	1.0892835713428537	8.262311336344608	1.2298229851159803e-6	1.0340351658855162e-4	472;1027;4089;4763;5728;7157;7248;7428;83990	ATM;BRIP1;CDKN1B;NF1;PTEN;SMAD4;TP53;TSC1;VHL
GO:0001558	regulation of cell growth	http://amigo.geneontology.org/amigo/term/GO:0001558	409	10	1.423376935077403	7.0255459067532255	1.2941157792045743e-6	1.0635867901887829e-4	1027;1029;4089;5925;6597;6794;7157;7490;8314;201163	BAP1;CDKN1B;CDKN2A;FLCN;RB1;SMAD4;SMARCA4;STK11;TP53;WT1
GO:0010332	response to gamma radiation	http://amigo.geneontology.org/amigo/term/GO:0010332	55	5	0.19140765630625226	26.122257053291534	1.3036816617351121e-6	1.0635867901887829e-4	472;675;4221;7157;11200	ATM;BRCA2;MEN1;TP53;CHEK2
GO:0043491	protein kinase B signaling	http://amigo.geneontology.org/amigo/term/GO:0043491	232	8	0.8073922956918277	9.908442330558858	1.31556881755035e-6	1.0635867901887829e-4	3815;4233;5156;5728;5979;6794;7249;201163	FLCN;KIT;MET;PTEN;RET;STK11;TSC2;PDGFRA
GO:0033673	negative regulation of kinase activity	http://amigo.geneontology.org/amigo/term/GO:0033673	237	8	0.8247929917196688	9.699403462825549	1.543479749344101e-6	1.2320485189068229e-4	324;1027;1029;4221;4763;4771;5925;7249	APC;CDKN1B;CDKN2A;MEN1;NF1;NF2;RB1;TSC2
GO:0000280	nuclear division	http://amigo.geneontology.org/amigo/term/GO:0000280	420	10	1.4616584663386536	6.841543513957307	1.643667028261575e-6	1.2956205350271867e-4	324;472;675;1027;4292;5889;5892;5925;11200;83990	APC;ATM;BRCA2;BRIP1;CDKN1B;MLH1;RAD51C;RAD51D;RB1;CHEK2
GO:0030330	DNA damage response, signal transduction by p53 class mediator	http://amigo.geneontology.org/amigo/term/GO:0030330	105	6	0.3654146165846634	16.419704433497536	1.6804262871206177e-6	1.308242983528718e-4	472;672;675;1027;7157;11200	ATM;BRCA1;BRCA2;CDKN1B;TP53;CHEK2
GO:0071156	regulation of cell cycle arrest	http://amigo.geneontology.org/amigo/term/GO:0071156	106	6	0.3688947557902316	16.26480156148341	1.776488876670257e-6	1.349703476660559e-4	472;672;1019;1027;7157;11200	ATM;BRCA1;CDK4;CDKN1B;TP53;CHEK2
GO:0044774	mitotic DNA integrity checkpoint	http://amigo.geneontology.org/amigo/term/GO:0044774	106	6	0.3688947557902316	16.26480156148341	1.776488876670257e-6	1.349703476660559e-4	472;1027;2956;4436;7157;11200	ATM;CDKN1B;MSH2;MSH6;TP53;CHEK2
GO:0010812	negative regulation of cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0010812	60	5	0.20880835233409337	23.945402298850574	2.0197780263853105e-6	1.5162762183792581e-4	1029;4221;4763;4771;5728	CDKN2A;MEN1;NF1;NF2;PTEN
GO:0006289	nucleotide-excision repair	http://amigo.geneontology.org/amigo/term/GO:0006289	110	6	0.3828153126125045	15.67335423197492	2.2067128662150992e-06	1.6371213334532254e-4	675;4913;5424;5426;7157;83990	BRCA2;BRIP1;NTHL1;POLD1;POLE;TP53
GO:0031929	TOR signaling	http://amigo.geneontology.org/amigo/term/GO:0031929	111	6	0.38629545181807273	15.53215284249767	2.3265731428079306e-6	1.6863643952352655e-4	472;6794;7248;7249;55654;201163	ATM;FLCN;STK11;TMEM127;TSC1;TSC2
GO:0007127	meiosis I	http://amigo.geneontology.org/amigo/term/GO:0007127	111	6	0.38629545181807273	15.53215284249767	2.3265731428079306e-6	1.6863643952352655e-4	472;675;4292;5889;5892;83990	ATM;BRCA2;BRIP1;MLH1;RAD51C;RAD51D
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	http://amigo.geneontology.org/amigo/term/GO:0045736	28	4	0.09744389775591024	41.04926108374384	2.5401972516547744e-6	1.7798315409927785e-4	324;1027;1029;4221	APC;CDKN1B;CDKN2A;MEN1
GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030511	28	4	0.09744389775591024	41.04926108374384	2.5401972516547744e-6	1.7798315409927785e-4	4089;4221;6794;201163	FLCN;MEN1;SMAD4;STK11
GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	http://amigo.geneontology.org/amigo/term/GO:1903846	28	4	0.09744389775591024	41.04926108374384	2.5401972516547744e-6	1.7798315409927785e-4	4089;4221;6794;201163	FLCN;MEN1;SMAD4;STK11
